OK|adcanto|adcanto|OK|accanto|accanto
OK|adcelero|adcelero|OK|accelero|accelero
Isol|adcenseo|adcenseo|OK|accenseo|accenseo
OK|adclamatio|adclamatio|OK|acclamatio|acclamatio
OK|adclamo|adclamo|OK|acclamo|acclamo
OK|adclaro|adclaro|OK|acclaro|acclaro
Isol|adclinis|adclinis|OK|acclinis|acclinis
Isol|adclino|adclino|OK|acclino|acclino
OK|adclivis|adclivis|OK|acclivis|acclivis
Isol|adclivitas|adclivitas|OK|acclivitas|acclivitas
OK|adcognosco|adcognosco|OK|accognosco|accognosco
OK|adcolo|adcolo|OK|accolo|accolo
Isol|adcommodate|adcommodate|OK|accommodate|accommodate
Isol|adcommodatio|adcommodatio|OK|accommodatio|accommodatio
Isol|adcommodatus|adcommodatus|OK|accommodatus|accommodatus
OK|adcommodo|adcommodo|OK|accommodo|accommodo
OK|adcommodus|adcommodus|OK|accommodus|accommodus
OK|adcongero|adcongero|OK|accongero|accongero
Isol|adcorporo|adcorporo|OK|accorporo|accorporo
OK|adcredo|adcredo|OK|accredo|accredo
OK|adcresco|adcresco|OK|accresco|accresco
OK|adcretio|adcretio|OK|accretio|accretio
Isol|adcretus|adcretus|OK|accretus|accretus
OK|adcubo|adcubo|OK|accubo|accubo
OK|adcumbo|adcumbo|OK|accumbo|accumbo
Isol|adcumulate|adcumulate|OK|accumulate|accumulate
Isol|adcumulatio|adcumulatio|OK|accumulatio|accumulatio
OK|adcumulator|adcumulator|OK|accumulator|accumulator
Isol|adcumulo|adcumulo|OK|accumulo|accumulo
OK|adcuro|adcuro|OK|accuro|accuro
Isol|adcurro|adcurro|OK|accurro|accurro
Isol|adcursus|adcursus|OK|accursus|accursus
OK|adquiesco|adquiesco|OK|acquiesco|acquiesco
OK|adquiro|adquiro|OK|acquiro|acquiro
OK|adquisitio|adquisitio|OK|acquisitio|acquisitio
OK|affaber|affaber|OK|adfaber|adfaber
OK|affabilis|affabilis|OK|adfabilis|adfabilis
OK|affabilitas|affabilitas|OK|adfabilitas|adfabilitas
OK|affabiliter|affabiliter|OK|adfabiliter|adfabiliter
OK|affabre|affabre|OK|adfabre|adfabre
OK|affabricatus|affabricatus|OK|adfabricatus|adfabricatus
Isol|affabulatio|affabulatio|OK|adfabulatio|adfabulatio
OK|affamen|affamen|OK|adfamen|adfamen
Isol|affaniae|affaniae|Isol|adfaniae|adfaniae
OK|affatim|affatim|OK|adfatim|adfatim
Isol|affatio|affatio|OK|adfatio|adfatio
OK|affatus|affatus|Mult|adfatus|adfatus
Isol|affaveo|affaveo|OK|adfaveo|adfaveo
Isol|affectate|affectate|OK|adfectate|adfectate
Isol|affectaticius|affectaticius|OK|adfectaticius|adfectaticius
OK|affectatio|affectatio|OK|adfectatio|adfectatio
Isol|affectato|affectato|OK|adfectato|adfectato
OK|affectator|affectator|OK|adfectator|adfectator
OK|affectatrix|affectatrix|OK|adfectatrix|adfectatrix
Isol|affectatus|affectatus|OK|adfectatus|adfectatus
OK|affecte|affecte|OK|adfecte|adfecte
OK|affectio|affectio|OK|adfectio|adfectio
Isol|affectionalis|affectionalis|OK|adfectionalis|adfectionalis
OK|affectiosus|affectiosus|OK|adfectiosus|adfectiosus
Isol|affectivus|affectivus|OK|adfectivus|adfectivus
OK|affecto|affecto|OK|adfecto|adfecto
OK|affector|affector|OK|adfector|adfector
Isol|affectuose|affectuose|OK|adfectuose|adfectuose
OK|affectuosus|affectuosus|OK|adfectuosus|adfectuosus
Mult|affectus|affectus|Mult|adfectus|adfectus
Isol|afferenda|afferenda|Isol|adferenda|adferenda
OK|affero|affero|OK|adfero|adfero
Isol|affestino|affestino|OK|adfestino|adfestino
OK|afficio|afficio|OK|adficio|adficio
OK|afficticius|afficticius|OK|adficticius|adficticius
Isol|affictio|affictio|OK|adfictio|adfictio
Isol|affictitius|affictitius|Isol|adfictitius|adfictitius
Isol|affictus|affictus|OK|adfictus|adfictus
OK|affigo|affigo|OK|adfigo|adfigo
OK|affiguro|affiguro|OK|adfiguro|adfiguro
Isol|affiliatio|affiliatio|Isol|adfiliatio|adfiliatio
OK|affingo|affingo|OK|adfingo|adfingo
OK|affinis|affinis|Mult|adfinis|adfinis
OK|affinitas|affinitas|OK|adfinitas|adfinitas
Isol|affirmanter|affirmanter|OK|adfirmanter|adfirmanter
OK|affirmate|affirmate|OK|adfirmate|adfirmate
OK|affirmatio|affirmatio|OK|adfirmatio|adfirmatio
Isol|affirmative|affirmative|OK|adfirmative|adfirmative
OK|affirmativus|affirmativus|OK|adfirmativus|adfirmativus
OK|affirmator|affirmator|OK|adfirmator|adfirmator
OK|affirmo|affirmo|OK|adfirmo|adfirmo
OK|affixio|affixio|OK|adfixio|adfixio
OK|affixus|affixus|OK|adfixus|adfixus
OK|afflagrans|afflagrans|OK|adflagrans|adflagrans
Isol|afflamen|afflamen|OK|adflamen|adflamen
OK|afflator|afflator|OK|adflator|adflator
Isol|afflatorius|afflatorius|OK|adflatorius|adflatorius
Mult|afflatus|afflatus|Mult|adflatus|adflatus
OK|afflecto|afflecto|OK|adflecto|adflecto
OK|affleo|affleo|OK|adfleo|adfleo
OK|afflictatio|afflictatio|OK|adflictatio|adflictatio
OK|afflictator|afflictator|OK|adflictator|adflictator
Isol|afflictim|afflictim|OK|adflictim|adflictim
OK|afflictio|afflictio|OK|adflictio|adflictio
OK|afflicto|afflicto|OK|adflicto|adflicto
OK|afflictor|afflictor|OK|adflictor|adflictor
Isol|afflictrix|afflictrix|OK|adflictrix|adflictrix
Mult|afflictus|afflictus|Mult|adflictus|adflictus
OK|affligo|affligo|OK|adfligo|adfligo
OK|afflo|afflo|OK|adflo|adflo
OK|affluens|affluens|OK|adfluens|adfluens
Isol|affluente|affluente|Isol|adfluente|adfluente
OK|affluenter|affluenter|OK|adfluenter|adfluenter
OK|affluentia|affluentia|OK|adfluentia|adfluentia
Isol|affluitas|affluitas|OK|adfluitas|adfluitas
OK|affluo|affluo|OK|adfluo|adfluo
OK|affluus|affluus|OK|adfluus|adfluus
Isol|affluxio|affluxio|OK|adfluxio|adfluxio
OK|affodio|affodio|OK|adfodio|adfodio
OK|affor|affor|OK|adfor|adfor
Isol|affore|affore|OK|adfore|adfore
Isol|afforem|afforem|Isol|adforem|adforem
OK|afformido|afformido|OK|adformido|adformido
OK|affrango|affrango|OK|adfrango|adfrango
OK|affremo|affremo|OK|adfremo|adfremo
OK|affricatio|affricatio|OK|adfricatio|adfricatio
OK|affrico|affrico|OK|adfrico|adfrico
OK|affrictus|affrictus|OK|adfrictus|adfrictus
OK|affringo|affringo|OK|adfringo|adfringo
OK|affrio|affrio|OK|adfrio|adfrio
OK|affulgeo|affulgeo|OK|adfulgeo|adfulgeo
OK|affundo|affundo|OK|adfundo|adfundo
Isol|affurcillo|affurcillo|OK|adfurcillo|adfurcillo
Isol|affusio|affusio|OK|adfusio|adfusio
OK|aggar|aggar|Isol|adgar|adgar
